id,name,affiliation
A5009241024,Amandeep Kaur,"Chitkara University Institute of Engineering and Technology, Chitkara University, NH 64, Rajpura, Punjab, 140401, India"
A5052213341,Amar Maharjan,"University of North Texas, Denton, TX, USA"
A5064611681,Amenah D. Abbood,"Department of Computer Science, University of Baghdad, Baghdad, Iraq"
A5002819875,Amer Malki,"College of Computer Science and Engineering, Taibah University, Yanbu, 46421, Saudi Arabia"
A5002819875,Amer Malki,"College of Computer Science and Engineering, Taibah University, 46421, Yanbu, Saudi Arabia"
A5009748764,Amer O. Abu Salem,"Department of Computer Science, Faculty of Information Technology, Zarqa University, Zarqa, Jordan"
A5081817597,Amir H. Alavi,"Department of Civil and Environmental Engineering, University of Pittsburgh, Pittsburgh, PA, 15261, USA"
A5039341855,Amir H. Gandomi,"Faculty of Engineering & Information Technology, University of Technology Sydney, Sydney, Australia"
A5039341855,Amir H. Gandomi,"Faculty of Engineering and Information Technology, University of Technology Sydney, Sydney, Australia"
A5067068847,Amir Nakib,"LISSI - Laboratoire Images, Signaux et Systèmes Intelligents (120-122, rue Paul Armangot 94400 Vitry Sur Seine - France)"
A5070283092,AmirAli Abdolrashidi,"University of California, Riverside, USA"
A5052005274,Amira Y. Haikal,"Computers and Control Systems Engineering Department, Faculty of Engineering, Mansoura University, Mansoura, Egypt"
A5092117234,Amirhossein Jamarani,"The Center for Advanced Computer Studies, University of Louisiana at Lafayette, Lafayette, LA, USA"
A5071900228,Amirmasoud Kalantari Dahaghi,"Department of Chemical and Petroleum Engineering, University of Kansas, Lawrence, KS, 66045, USA"
A5019540812,Amit Chhabra,"Department of Computer Engineering and Technology, Guru Nanak Dev University, Amritsar, India"
A5030050034,Amit Kumar Dubey,"Koneru Lakshmaiah Education Foundation (KLEF), Vaddeswaram, Andhra Pradesh, India"
A5005705210,Amitava Datta,"Computer Science and Software Engineering, The University of Western Australia, Perth, Australia"
A5018735750,Amitava Nag,"Department of CSE, Central Institute of Technology Kokrajhar, Kokrajhar, India"
A5037363448,Ammar A. Hasan,"College of Engineering, University of Baghdad, Baghdad, Iraq"
A5080349541,Ammar A. Q. Ahmed,"Department of Basic Sciences, College of Computer and Information Sciences, Al Jouf University, 72388, Sakaka, Saudi Arabia"
A5008343337,Ammar S. Alanazi,"King Abdulaziz City for Science and Technology, Riyadh, Saudi Arabia"
A5004131475,Amr Tolba,"Computer Science Department, Community College, King Saud University, Riyadh, 11437, Saudi Arabia"
A5036839837,Amrit Lal Sangal,"Department of Computer Science and Engineering, Dr. B. R. Ambedkar National Institute of Technology, Jalandhar, Punjab, 144011, India"
A5023980589,Ana B. Porto-Pazos,"CITIC, Research Center of Information and Communication Technologies, Universidade da Coruña, 15071, A Coruña, Spain"
A5032195278,Ana Beatriz Morales‐Cepeda,"TecNM/Instituto Tecnológico de Ciudad Madero, Juventino Rosas y Jesús Urueta s/n, Col. Los Mangos, 89318, Ciudad Madero, Tamaulipas, Mexico"
A5074945731,Anabel Martín-González,"Universidad Autónoma de Yucatán, Anillo Periférico Norte, 97119, Mérida, Mexico"
A5026855523,Anabia Sohail,"Pattern Recognition Lab, Department of Computer & Information Sciences, Pakistan Institute of Engineering & Applied Sciences, Nilore, Islamabad, 45650, Pakistan"
