work_id,author_id,position
W4281703385,A5055589318,last
W4281703385,A5100726713,middle
W4281912025,A5055403091,middle
W4281912025,A5074303402,first
W4281912025,A5081877111,last
W4281930622,A5012991566,middle
W4281930622,A5077211776,first
W4281930622,A5100638546,middle
W4281930622,A5101645356,last
W4281962665,A5021827481,middle
W4281962665,A5031973958,middle
W4281962665,A5037990310,last
W4281962665,A5040995305,first
W4281962665,A5071269407,middle
W4281962665,A5075100287,middle
W4281962665,A5100369916,middle
W4281962665,A5100462858,middle
W4283069536,A5002818433,middle
W4283069536,A5028014425,middle
W4283069536,A5045361189,last
W4283069536,A5080706260,middle
W4283069536,A5086602898,first
W4283069536,A5101921000,middle
W4283157120,A5054194585,last
W4283157120,A5103257376,first
W4283203948,A5031691031,first
W4283203948,A5044801385,last
W4283203948,A5072923302,middle
W4283203948,A5073006299,middle
W4283203948,A5114377922,middle
W4283213885,A5000130848,last
W4283213885,A5016503114,middle
W4283213885,A5048499914,middle
W4283213885,A5048675276,first
W4283213885,A5054915799,middle
W4283275666,A5047621347,first
W4283275666,A5053207994,last
W4283461979,A5039341855,last
W4283461979,A5064467549,middle
W4283461979,A5087303751,first
W4283578180,A5054984160,first
W4283578180,A5058078141,last
W4283585133,A5000257232,middle
W4283585133,A5032417356,first
W4283585133,A5076579498,last
W4283585133,A5090899188,middle
W4283585133,A5100687842,middle
W4283585133,A5100768918,middle
W4283645714,A5004754258,first
W4283645714,A5100735356,last
W4283763275,A5028493506,first
W4283763275,A5100763506,last
W4283764803,A5066478445,first
W4283764803,A5069410082,last
W4283803271,A5050165132,last
W4283803271,A5075855692,first
W4283814693,A5044292056,last
W4283814693,A5075926284,first
W4283817886,A5046484926,first
W4283817886,A5089246664,last
W4285091076,A5005545405,first
W4285676605,A5029801451,first
W4285676605,A5086385685,last
W4285796263,A5012063164,middle
W4285796263,A5069995055,middle
W4285796263,A5073814691,last
W4285796263,A5084649185,first
W4285796576,A5046211643,middle
W4285796576,A5060949035,first
W4285796576,A5088902167,last
W4286795081,A5000315816,middle
W4286795081,A5004396429,first
W4286795081,A5112321926,last
W4286906772,A5048285657,last
W4286906772,A5049520186,first
W4287307793,A5008228591,middle
W4287307793,A5016422824,middle
W4287307793,A5021761851,middle
W4287307793,A5036775484,last
W4287307793,A5060426258,first
W4287307793,A5061241637,middle
W4287307793,A5110662254,middle
W4287577628,A5037070255,first
W4287577628,A5045715820,last
W4287577628,A5064476347,middle
W4287992808,A5012673464,middle
W4287992808,A5055974043,first
W4287992808,A5060427576,last
W4287992808,A5065488177,middle
W4288690437,A5029750424,middle
W4288690437,A5089216253,last
W4288690437,A5103257513,middle
W4288690437,A5110662776,first
W4289638136,A5023821914,last
W4289638136,A5057765179,first
W4289860834,A5017678625,last
W4289860834,A5020620488,middle
W4289860834,A5100371024,first
W4289860834,A5100455788,middle
W4289860834,A5101408584,middle
W4289868942,A5007990458,first
W4289868942,A5061687092,last
W4289868942,A5070396373,middle
W4289868942,A5076418171,middle
W4289868942,A5083151864,middle
W4290992098,A5031758606,middle
W4290992098,A5052563154,middle
W4290992098,A5060394018,first
W4290992098,A5081817597,last
W4291993480,A5018366102,first
W4291993480,A5101916375,last
W4292059111,A5007268662,first
W4292059111,A5031470719,last
W4292059111,A5057915789,middle
W4292059111,A5075411702,middle
W4292197747,A5006206015,middle
W4292197747,A5014007067,middle
W4292197747,A5043674003,first
W4292197747,A5071962721,last
W4292197747,A5081318069,middle
W4292289323,A5007814097,middle
W4292289323,A5029662492,middle
W4292289323,A5035260283,first
W4292289323,A5066868064,middle
W4292289323,A5100326712,last
W4292289324,A5001207425,first
W4292289324,A5021138620,middle
W4292289324,A5072427305,middle
W4292289324,A5076081465,middle
W4292289324,A5077238823,last
W4292372012,A5070480113,last
W4292372012,A5091399000,first
W4293213129,A5027293846,first
W4293213129,A5029689278,last
W4293248357,A5043574277,last
W4293248357,A5052227146,first
W4293288724,A5045804696,first
W4293295050,A5028876164,first
W4293295050,A5058685565,middle
W4293295050,A5065030408,middle
W4293295050,A5100391742,last
W4293317991,A5062445099,first
W4293317991,A5108006149,last
W4293317991,A5108967747,middle
W4293795081,A5078857583,first
W4294566414,A5034881721,middle
W4294566414,A5066104845,first
W4294566414,A5088969327,last
W4294653840,A5003329037,last
W4294653840,A5043148826,first
W4294740730,A5000423090,middle
W4294740730,A5007157109,middle
W4294740730,A5009808948,middle
W4294740730,A5019591142,middle
W4294740730,A5019780158,middle
W4294740730,A5021351968,middle
W4294740730,A5039924119,middle
W4294740730,A5041248487,first
W4294740730,A5043355848,middle
W4294740730,A5048651621,middle
W4294740730,A5060767326,middle
W4294740730,A5061961859,last
W4294740730,A5065859612,middle
W4294740730,A5066405772,middle
W4294740730,A5073835952,middle
W4294740730,A5113492726,middle
W4294817101,A5004219097,middle
W4294817101,A5022209006,first
W4294817101,A5100347255,last
W4294817101,A5100347994,middle
W4294817101,A5100632772,middle
W4294817101,A5101398398,middle
W4294930473,A5024234396,first
W4294930473,A5043398857,last
W4295008492,A5013628132,first
W4295008492,A5078493275,middle
W4295008492,A5091653726,last
W4295120388,A5027585580,first
W4295120388,A5037623995,last
W4295120388,A5049287701,middle
W4295457756,A5019951946,first
W4295457756,A5067185538,last
